"CrashName","Name","Sex","Age","Speed","VehicleDamage","PartyCategory","Sobriety","VehicleDirection","MovementPrecedingCollision","PartyType","OtherAssociatedFactor","VehicleCount","ViolationCode","ViolationCodeDescription"
"CR-0000085224","ACV-0000174443","F","43","","Minor","Driver","Had Not Been Drinking","East","Entering Traffic","Car","None Apparent","1","21804","Yield From Driveway/Curb"
"CR-0000085224","ACV-0000174444","F","51","","Minor","Driver","Had Not Been Drinking","South","Proceeding Straight","Car","None Apparent","1","Not Applicable","Not Applicable"
"CR-0000085225","ACV-0000174445","M","21","","Moderate","Driver","Had Been Drinking - Impairment Unknown","West","Making Left Turn","Car","Other Violation","1","22350","Speeding"
"CR-0000085225","ACV-0000174446","M","53","","Major","Driver","Had Not Been Drinking","East","Proceeding Straight","Car","None Apparent","1","Not Applicable","Not Applicable"
"CR-0000085226","ACV-0000174447","","0","","Unknown","Parked","Not Applicable","Not Applicable","Parked","Car","Unknown","1","Unknown","Unknown"
"CR-0000085226","ACV-0000174448","","0","","Unknown","Driver","Impairment Not Known","Unknown","Unknown","Unknown","Unknown","1","Unknown","Unknown"
"CR-0000085227","ACV-0000174449","","0","","Unknown","Parked","Not Applicable","Not Applicable","Parked","Panel Truck","Unknown","1","Unknown","Unknown"
"CR-0000085227","ACV-0000174450","","0","","Unknown","Driver","Impairment Not Known","Unknown","Unknown","Unknown","Unknown","1","Unknown","Unknown"
"CR-0000085228","ACV-0000174451","M","0","","Major","Driver","Had Been Drinking - Impairment Unknown","West","Proceeding Straight","Car","Other Violation","1","22350","Speeding"
"CR-0000085228","ACV-0000174452","","0","","Major","Parked","Not Applicable","Not Applicable","Parked","Car","Unknown","1","Not Applicable","Not Applicable"
"CR-0000085228","ACV-0000174453","","0","","Moderate","Parked","Not Applicable","Not Applicable","Parked","Car","Unknown","1","Not Applicable","Not Applicable"
"CR-0000085229","ACV-0000174454","F","36","","Not Applicable","Pedestrian","Impairment Not Known","East","Other (Ped)","Pedestrian","Unknown","1","21950","Yield Pedestrian In Crosswalk"
"CR-0000085229","ACV-0000174455","M","50","","None","Driver","Had Not Been Drinking","South","Proceeding Straight","Panel Truck","Inattention","1","Not Applicable","Not Applicable"
"CR-0000085230","ACV-0000174456","M","17","","Moderate","Driver","Had Not Been Drinking","East","Proceeding Straight","Car","None Apparent","1","22350","Speeding"
"CR-0000085230","ACV-0000174457","M","35","","Moderate","Driver","Had Not Been Drinking","East","Proceeding Straight","Car","None Apparent","1","Not Applicable","Not Applicable"
"CR-0000085230","ACV-0000174458","M","39","","Minor","Driver","Had Not Been Drinking","East","Proceeding Straight","Car","None Apparent","1","Not Applicable","Not Applicable"
"CR-0000085231","ACV-0000174459","M","30","","Major","Driver","Had Not Been Drinking","North","Making Left Turn","Car","Unknown","1","21453","Run Red Light"
"CR-0000085231","ACV-0000174460","M","30","","Minor","Driver","Had Not Been Drinking","North","Proceeding Straight","Train","Unknown","1","Not Applicable","Not Applicable"
"CR-0000085232","ACV-0000174461","M","21","","Major","Driver","Had Not Been Drinking","East","Proceeding Straight","Car","Unknown","1","22350","Speeding"
"CR-0000085233","ACV-0000174462","M","64","","Major","Driver","Impairment Not Known","East","Backing","Car","Other Violation","1","22350","Speeding"
"CR-0000085233","ACV-0000174463","M","86","","Moderate","Driver","Impairment Not Known","South","Proceeding Straight","Car","Unknown","1","Not Applicable","Not Applicable"
"CR-0000085234","ACV-0000174464","M","31","","Moderate","Driver","Had Not Been Drinking","South","Making Left Turn","Car","Other","1","22350","Speeding"
"CR-0000085235","ACV-0000174465","","0","","Unknown","Driver","Impairment Not Known","East","Proceeding Straight","Car","Other Violation","1","22350","Speeding"
"CR-0000085236","ACV-0000174466","M","23","","Minor","Driver","Had Not Been Drinking","North","Making Left Turn","Motorcycle/Moped","Inattention","1","22100","Improper Turn"
"CR-0000085236","ACV-0000174467","M","43","","Minor","Driver","Had Not Been Drinking","North","Proceeding Straight","Car","Unknown","1","Not Applicable","Not Applicable"
"CR-0000085237","ACV-0000174468","","0","","Unknown","Driver","Impairment Not Known","North","Proceeding Straight","Car","Other Violation","1","21453","Run Red Light"
"CR-0000085237","ACV-0000174469","M","25","","Moderate","Driver","Had Not Been Drinking","West","Proceeding Straight","Panel Truck","None Apparent","1","Not Applicable","Not Applicable"
"CR-0000085238","ACV-0000174470","","0","","Unknown","Driver","Impairment Not Known","East","Proceeding Straight","Car","Other Violation","1","23101","Reckless Driving"
"CR-0000085238","ACV-0000174471","","0","","Major","Parked","Not Applicable","Not Applicable","Parked","Car","Unknown","1","Not Applicable","Not Applicable"
"CR-0000085239","ACV-0000174472","M","25","","Minor","Driver","Had Not Been Drinking","West","Merging","Car","None Apparent","1","21804","Yield From Driveway/Curb"
"CR-0000085239","ACV-0000174473","F","38","","Minor","Driver","Had Not Been Drinking","North","Proceeding Straight","Car","None Apparent","1","Not Applicable","Not Applicable"
"CR-0000085240","ACV-0000174474","F","0","","Unknown","Driver","Impairment Not Known","East","Proceeding Straight","Car","Other Violation","1","22350","Speeding"
"CR-0000085240","ACV-0000174475","M","54","","Minor","Driver","Had Not Been Drinking","East","Stopped","Car","Unknown","1","Not Applicable","Not Applicable"
"CR-0000085241","ACV-0000174476","","32","","Unknown","Driver","Impairment Not Known","West","Proceeding Straight","Panel Truck","Unknown","1","Unknown","Unknown"
"CR-0000085241","ACV-0000174477","","0","","Unknown","Driver","Impairment Not Known","West","Stopped","Car","Unknown","1","Unknown","Unknown"
"CR-0000085242","ACV-0000174478","F","0","","Major","Driver","Had Not Been Drinking","North","Making Left Turn","Car","None Apparent","1","Unknown","Unknown"
"CR-0000085242","ACV-0000174479","F","16","","Major","Driver","Had Not Been Drinking","East","Proceeding Straight","Car","None Apparent","1","Unknown","Unknown"
"CR-0000085243","ACV-0000174480","","0","","Moderate","Driver","Impairment Not Known","South","Ran Off Road","Car","Unknown","1","22350","Speeding"
"CR-0000085244","ACV-0000174481","M","61","","Moderate","Driver","Had Not Been Drinking","North","Proceeding Straight","Car","Other Violation","1","22350","Speeding"
"CR-0000085244","ACV-0000174482","","0","","Moderate","Parked","Not Applicable","Not Applicable","Parked","Car","None Apparent","1","Not Applicable","Not Applicable"
"CR-0000085244","ACV-0000174483","","0","","Major","Parked","Not Applicable","Not Applicable","Parked","Panel Truck","None Apparent","1","Not Applicable","Not Applicable"
"CR-0000085245","ACV-0000174484","","0","","Minor","Driver","Impairment Not Known","North","Backing","Car","Other Violation","1","22106","Unsafe Backing"
"CR-0000085245","ACV-0000174485","","0","","Minor","Parked","Not Applicable","Not Applicable","Parked","Car","None Apparent","1","Not Applicable","Not Applicable"
"CR-0000085246","ACV-0000174486","F","49","","None","Driver","Had Not Been Drinking","West","Proceeding Straight","Car","Vision Obscurement","1","21950","Yield Pedestrian In Crosswalk"
"CR-0000085246","ACV-0000174487","F","79","","Not Applicable","Pedestrian","Had Not Been Drinking","South","Other (Ped)","Pedestrian","None Apparent","1","Not Applicable","Not Applicable"
"CR-0000085247","ACV-0000174488","F","0","","Minor","Driver","Impairment Not Known","West","Proceeding Straight","Car","Other Violation","1","22350","Speeding"
"CR-0000085247","ACV-0000174489","","0","","Unknown","Parked","Not Applicable","Not Applicable","Parked","Car","Unknown","1","Not Applicable","Not Applicable"
"CR-0000085248","ACV-0000174490","","0","","Moderate","Driver","Impairment Not Known","East","Proceeding Straight","Car","Other Violation","1","23103","Reckless Driving 2"
"CR-0000085248","ACV-0000174491","F","32","","Moderate","Driver","Had Not Been Drinking","North","Proceeding Straight","Car","Unknown","1","Not Applicable","Not Applicable"
"CR-0000085249","ACV-0000174492","F","45","","Major","Driver","Had Not Been Drinking","West","Proceeding Straight","Car","None Apparent","1","22107","Unsafe Turn Movement"
"CR-0000085249","ACV-0000174493","","0","","Moderate","Parked","Not Applicable","Not Applicable","Parked","Car","Unknown","1","Not Applicable","Not Applicable"
"CR-0000085249","ACV-0000174494","","0","","Moderate","Parked","Not Applicable","Not Applicable","Parked","Other","Unknown","1","Not Applicable","Not Applicable"
"CR-0000085250","ACV-0000174495","M","0","","Unknown","Driver","Impairment Not Known","North","Proceeding Straight","Car","Other Violation","1","22350","Speeding"
"CR-0000085250","ACV-0000174496","M","46","","Minor","Driver","Had Not Been Drinking","North","Stopped","Car","None Apparent","1","Not Applicable","Not Applicable"
"CR-0000085251","ACV-0000174497","","0","","Unknown","Driver","Impairment Not Known","South","Proceeding Straight","Car","Other Violation","1","22107","Unsafe Turn Movement"
"CR-0000085251","ACV-0000174498","","0","","Minor","Parked","Not Applicable","Not Applicable","Parked","Car","None Apparent","1","Not Applicable","Not Applicable"
"CR-0000085252","ACV-0000174499","M","26","","Not Applicable","Pedestrian","Had Been Drinking - Impairment Unknown","North","Entering Traffic","Pedestrian","None Apparent","1","21954","Pedestrian Yield Car"
"CR-0000085252","ACV-0000174500","M","27","","Major","Driver","Had Not Been Drinking","East","Proceeding Straight","Car","None Apparent","1","Not Applicable","Not Applicable"
"CR-0000085253","ACV-0000174501","M","25","","Major","Driver","Had Not Been Drinking","East","Proceeding Straight","Car","None Apparent","1","Unknown","Unknown"
"CR-0000085253","ACV-0000174502","M","36","","Major","Driver","Had Not Been Drinking","East","Proceeding Straight","Car","None Apparent","1","Not Applicable","Not Applicable"
"CR-0000085253","ACV-0000174503","","0","","None","Parked","Not Applicable","Not Applicable","Parked","Panel Truck","None Apparent","1","Not Applicable","Not Applicable"
"CR-0000085254","ACV-0000174504","M","81","","Moderate","Driver","Had Not Been Drinking","East","Proceeding Straight","Car","Other","1","Unknown","Unknown"
"CR-0000085255","ACV-0000174505","M","13","","Not Applicable","Bicycle","Impairment Not Known","West","Proceeding Straight","Bicycle","Unknown","1","21456","Pedestrian Don't Walk"
"CR-0000085255","ACV-0000174506","M","0","","None","Driver","Impairment Not Known","East","Making Left Turn","Car","Unknown","1","Not Applicable","Not Applicable"
"CR-0000085256","ACV-0000174507","M","63","","Moderate","Driver","Had Not Been Drinking","South","Making Right Turn","Car","None Apparent","1","21453","Run Red Light"
"CR-0000085256","ACV-0000174508","M","28","","Minor","Driver","Had Not Been Drinking","North","Making Left Turn","Bus - Other","None Apparent","1","Not Applicable","Not Applicable"
"CR-0000085257","ACV-0000174509","","0","","Unknown","Driver","Impairment Not Known","West","Crossing Into Opposing Lane","Car","Other Violation","1","21650","Driving Wrong Side"
"CR-0000085257","ACV-0000174510","","0","","Unknown","Parked","Not Applicable","Not Applicable","Parked","Car","None Apparent","1","Not Applicable","Not Applicable"
"CR-0000085258","ACV-0000174511","F","26","","Major","Driver","Had Not Been Drinking","East","Proceeding Straight","Car","Inattention","1","21453","Run Red Light"
"CR-0000085258","ACV-0000174512","M","67","","Major","Driver","Had Not Been Drinking","North","Proceeding Straight","Car","Unknown","1","Not Applicable","Not Applicable"
"CR-0000085258","ACV-0000174513","M","25","","Moderate","Driver","Had Not Been Drinking","West","Stopped","Car","Unknown","1","Not Applicable","Not Applicable"
"CR-0000085259","ACV-0000174514","M","62","","Moderate","Driver","Had Been Drinking - Not Under Influence","North","Making Left Turn","Car","None Apparent","1","21453","Run Red Light"
"CR-0000085259","ACV-0000174515","M","69","","Moderate","Driver","Had Been Drinking - Not Under Influence","South","Proceeding Straight","Car","None Apparent","1","Not Applicable","Not Applicable"
"CR-0000085260","ACV-0000174516","M","57","","Not Applicable","Bicycle","Impairment Not Known","South","Changing Lanes","Bicycle","Other Violation","1","21202","Wrong Way Bike"
"CR-0000085260","ACV-0000174517","F","20","","Moderate","Driver","Had Not Been Drinking","South","Proceeding Straight","Car","Unknown","1","Not Applicable","Not Applicable"
"CR-0000085261","ACV-0000174518","","0","","Unknown","Driver","Impairment Not Known","South","Proceeding Straight","Car","Other Violation","1","22350","Speeding"
"CR-0000085261","ACV-0000174519","M","44","","Moderate","Driver","Had Not Been Drinking","South","Stopped","Car","None Apparent","1","Not Applicable","Not Applicable"
"CR-0000085262","ACV-0000174520","F","0","","Not Applicable","Pedestrian","Impairment Not Known","South","Other (Ped)","Pedestrian","Unknown","1","21955","Crossing Controlled Intersection/Jaywalking"
"CR-0000085262","ACV-0000174521","M","41","","Major","Driver","Had Not Been Drinking","West","Proceeding Straight","Car","Unknown","1","Not Applicable","Not Applicable"
"CR-0000085263","ACV-0000174522","M","75","","Minor","Driver","Had Not Been Drinking","North","Proceeding Straight","Car","Unknown","1","21453","Run Red Light"
"CR-0000085263","ACV-0000174523","M","55","","Minor","Driver","Had Not Been Drinking","East","Proceeding Straight","Car","Unknown","1","Not Applicable","Not Applicable"
"CR-0000085264","ACV-0000174524","","0","","Unknown","Parked","Not Applicable","Not Applicable","Parked","Panel Truck","Unknown","1","Unknown","Unknown"
"CR-0000085264","ACV-0000174525","","0","","Unknown","Driver","Impairment Not Known","Unknown","Unknown","Unknown","Unknown","1","Unknown","Unknown"
"CR-0000085265","ACV-0000174526","F","50","","Major","Driver","Impairment Not Known","West","Making Left Turn","Car","None Apparent","1","21453","Run Red Light"
"CR-0000085265","ACV-0000174527","M","52","","Moderate","Driver","Impairment Not Known","East","Proceeding Straight","Panel Truck","None Apparent","1","Not Applicable","Not Applicable"
"CR-0000085266","ACV-0000174528","M","35","","None","Bicycle","Impairment Not Known","North","Proceeding Straight","Bicycle","Unknown","1","Unknown","Unknown"
"CR-0000085266","ACV-0000174529","M","33","","None","Driver","Had Not Been Drinking","North","Making Right Turn","Car","Vision Obscurement","1","Not Applicable","Not Applicable"
"CR-0000085267","ACV-0000174530","","0","","Moderate","Driver","Impairment Not Known","South","Proceeding Straight","Car","Other Violation","1","22350","Speeding"
"CR-0000085267","ACV-0000174531","M","49","","Major","Driver","Had Not Been Drinking","South","Stopped","Car","None Apparent","1","Not Applicable","Not Applicable"
"CR-0000085268","ACV-0000174532","F","15","","Not Applicable","Bicycle","Had Not Been Drinking","South","Making Left Turn","Bicycle","None Apparent","1","22107","Unsafe Turn Movement"
"CR-0000085268","ACV-0000174533","F","17","","Unknown","Driver","Had Not Been Drinking","South","Proceeding Straight","Car","None Apparent","1","Not Applicable","Not Applicable"
"CR-0000085269","ACV-0000174534","M","20","","Moderate","Driver","Had Been Drinking - Under Influence","East","Crossing Into Opposing Lane","Car","Other Violation","1","22107","Unsafe Turn Movement"
"CR-0000085270","ACV-0000174535","F","41","","Moderate","Driver","Had Not Been Drinking","West","Ran Off Road","Car","Unknown","1","22107","Unsafe Turn Movement"
"CR-0000085271","ACV-0000174536","F","26","","Totaled","Driver","Had Not Been Drinking","South","Proceeding Straight","Car","Vision Obscurement","1","21453","Run Red Light"
"CR-0000085271","ACV-0000174537","F","47","","Major","Driver","Had Not Been Drinking","East","Proceeding Straight","Car","Unknown","1","Not Applicable","Not Applicable"
"CR-0000085272","ACV-0000174538","","0","","Totaled","Driver","Impairment Not Known","West","Proceeding Straight","Car","Other Violation","1","22350","Speeding"
"CR-0000085272","ACV-0000174539","","0","","Minor","Parked","Not Applicable","Not Applicable","Parked","Car","Unknown","1","Not Applicable","Not Applicable"
"CR-0000085272","ACV-0000174540","","0","","Minor","Parked","Not Applicable","Not Applicable","Parked","Car","Unknown","1","Not Applicable","Not Applicable"
"CR-0000085273","ACV-0000174541","","0","","Major","Driver","Impairment Not Known","South","Proceeding Straight","Car","Other Violation","1","22107","Unsafe Turn Movement"
"CR-0000085273","ACV-0000174542","","0","","Major","Parked","Not Applicable","Not Applicable","Parked","Car","None Apparent","1","Not Applicable","Not Applicable"
"CR-0000085273","ACV-0000174543","","0","","Minor","Parked","Not Applicable","Not Applicable","Parked","Car","None Apparent","1","Not Applicable","Not Applicable"
"CR-0000085412","ACV-0000174809","M","67","","Major","Driver","Impairment Not Known","North","Proceeding Straight","Panel Truck","Other","1","Unknown","Unknown"
"CR-0000085412","ACV-0000174810","","0","","Unknown","Parked","Not Applicable","Not Applicable","Parked","Car","Unknown","1","Unknown","Unknown"
"CR-0000085412","ACV-0000174811","","0","","Moderate","Parked","Not Applicable","Not Applicable","Parked","Car","Unknown","1","Unknown","Unknown"
"CR-0000085412","ACV-0000174812","","0","","Moderate","Parked","Not Applicable","Not Applicable","Parked","Car","Unknown","1","Unknown","Unknown"
"CR-0000085412","ACV-0000174813","","0","","Moderate","Parked","Not Applicable","Not Applicable","Parked","Car","Unknown","1","Unknown","Unknown"
"CR-0000085412","ACV-0000174814","","0","","Moderate","Parked","Not Applicable","Not Applicable","Parked","Car","Unknown","1","Unknown","Unknown"
"CR-0000085412","ACV-0000174815","","0","","Moderate","Parked","Not Applicable","Not Applicable","Parked","Car","Unknown","1","Unknown","Unknown"
"CR-0000085412","ACV-0000174816","","0","","Minor","Parked","Not Applicable","Not Applicable","Parked","Car","Unknown","1","Unknown","Unknown"
"CR-0000085415","ACV-0000174819","","0","","Major","Driver","Impairment Not Known","North","Changing Lanes","Car","Other Violation","1","21658","Unsafe Lane Change"
"CR-0000085416","ACV-0000174820","","0","","Major","Driver","Impairment Not Known","West","Ran Off Road","Car","Other Violation","1","22350","Speeding"
"CR-0000085417","ACV-0000174821","M","28","","Major","Driver","Impairment Not Known","West","Ran Off Road","Car","Unknown","1","22350","Speeding"
"CR-0000085418","ACV-0000174822","","0","","Unknown","Driver","Impairment Not Known","North","Changing Lanes","Car","Unknown","1","Unknown","Unknown"
"CR-0000085418","ACV-0000174823","M","25","","Unknown","Driver","Impairment Not Known","North","Proceeding Straight","Car","Unknown","1","Not Applicable","Not Applicable"
"CR-0000085419","ACV-0000174824","","0","","Unknown","Driver","Impairment Not Known","Unknown","Proceeding Straight","Unknown","Unknown","1","Unknown","Unknown"
"CR-0000085419","ACV-0000174825","","0","","Unknown","Parked","Not Applicable","Not Applicable","Parked","Car","Unknown","1","Unknown","Unknown"
"CR-0000085420","ACV-0000174826","","0","","Unknown","Driver","Impairment Not Known","West","Making Right Turn","Car","Other Violation","1","Unknown","Unknown"
"CR-0000085420","ACV-0000174827","F","34","","Minor","Driver","Had Not Been Drinking","North","Proceeding Straight","Car","Unknown","1","Not Applicable","Not Applicable"
"CR-0000085421","ACV-0000174828","","0","","Unknown","Driver","Impairment Not Known","South","Unknown","Construction Equipment","Unknown","1","Unknown","Unknown"
"CR-0000085421","ACV-0000174829","","0","","Unknown","Parked","Not Applicable","Not Applicable","Parked","Panel Truck","Unknown","1","Unknown","Unknown"
"CR-0000085422","ACV-0000174830","F","33","","Major","Driver","Had Not Been Drinking","South","Making U-Turn","Car","Other Violation","1","22102","U-Turn Business District"
"CR-0000085422","ACV-0000174831","F","53","","Major","Driver","Had Not Been Drinking","South","Proceeding Straight","Car","None Apparent","1","Not Applicable","Not Applicable"
"CR-0000085422","ACV-0000174832","","0","","Moderate","Parked","Not Applicable","Not Applicable","Parked","Panel Truck","None Apparent","1","Not Applicable","Not Applicable"
"CR-0000085422","ACV-0000174833","","0","","Moderate","Parked","Not Applicable","Not Applicable","Parked","Car","None Apparent","1","Not Applicable","Not Applicable"
"CR-0000085422","ACV-0000174834","","0","","Moderate","Parked","Not Applicable","Not Applicable","Parked","Car","None Apparent","1","Not Applicable","Not Applicable"
"CR-0000085423","ACV-0000174835","F","32","","Unknown","Driver","Impairment Not Known","South","Proceeding Straight","Panel Truck","Unknown","1","Unknown","Unknown"
"CR-0000085423","ACV-0000174836","","0","","Unknown","Driver","Impairment Not Known","West","Proceeding Straight","Motorcycle/Moped","Unknown","1","Unknown","Unknown"
"CR-0000085424","ACV-0000174837","F","17","","Major","Driver","Had Not Been Drinking","West","Making Left Turn","Car","Unknown","1","21801","Yield Left Turn"
"CR-0000085424","ACV-0000174838","F","49","","Major","Driver","Had Not Been Drinking","East","Proceeding Straight","Car","Unknown","1","Not Applicable","Not Applicable"
"CR-0000085425","ACV-0000174839","","0","","Major","Driver","Impairment Not Known","North","Other Unsafe Turning","Car","Other Violation","1","22107","Unsafe Turn Movement"
"CR-0000085425","ACV-0000174840","","0","","Major","Parked","Not Applicable","Not Applicable","Parked","Car","Unknown","1","Not Applicable","Not Applicable"
"CR-0000085426","ACV-0000174841","M","35","","None","Driver","Had Not Been Drinking","South","Making Left Turn","Car","Other Violation","1","21460","Driving Over Centerline"
"CR-0000085426","ACV-0000174842","M","24","","Major","Driver","Had Not Been Drinking","South","Proceeding Straight","Motorcycle/Moped","None Apparent","1","Not Applicable","Not Applicable"
"CR-0000085427","ACV-0000174843","M","69","","Moderate","Driver","Had Not Been Drinking","West","Proceeding Straight","Car","Unknown","1","22350","Speeding"
"CR-0000085427","ACV-0000174844","M","32","","Moderate","Driver","Had Not Been Drinking","West","Stopped","Car","Unknown","1","Not Applicable","Not Applicable"
"CR-0000085428","ACV-0000174845","","32","","Major","Driver","Impairment Not Known","South","Making Left Turn","Car","None Apparent","1","21460","Driving Over Centerline"
"CR-0000085428","ACV-0000174846","M","54","","Major","Driver","Impairment Not Known","North","Proceeding Straight","Panel Truck","None Apparent","1","Not Applicable","Not Applicable"
"CR-0000085428","ACV-0000174847","","0","","Minor","Parked","Not Applicable","Not Applicable","Parked","Car","None Apparent","1","Not Applicable","Not Applicable"
"CR-0000085428","ACV-0000174848","","0","","Major","Parked","Not Applicable","Not Applicable","Parked","Panel Truck","None Apparent","1","Not Applicable","Not Applicable"
"CR-0000085429","ACV-0000174849","M","34","","Minor","Driver","Had Been Drinking - Under Influence","East","Proceeding Straight","Car","Under Influence","1","22350","Speeding"
"CR-0000085429","ACV-0000174850","M","43","","None","Driver","Had Not Been Drinking","East","Stopped","Other","None Apparent","1","Not Applicable","Not Applicable"
"CR-0000085430","ACV-0000174851","M","28","","Major","Driver","Had Not Been Drinking","North","Proceeding Straight","Car","None Apparent","1","21453","Run Red Light"
"CR-0000085430","ACV-0000174852","F","31","","Major","Driver","Had Not Been Drinking","East","Proceeding Straight","Car","None Apparent","1","Not Applicable","Not Applicable"
"CR-0000085431","ACV-0000174853","F","50","","Minor","Driver","Had Not Been Drinking","South","Making Left Turn","Car","Other Violation","1","21804","Yield From Driveway/Curb"
"CR-0000085431","ACV-0000174854","M","34","","Major","Driver","Had Not Been Drinking","North","Proceeding Straight","Motorcycle/Moped","Other Violation","1","Not Applicable","Not Applicable"
"CR-0000085432","ACV-0000174855","","0","","Major","Driver","Impairment Not Known","South","Proceeding Straight","Car","Other Violation","1","22350","Speeding"
"CR-0000085433","ACV-0000174856","M","33","","Major","Driver","Impairment Not Known","West","Changing Lanes","Panel Truck","None Apparent","1","22107","Unsafe Turn Movement"
"CR-0000085434","ACV-0000174857","","0","","Unknown","Parked","Not Applicable","Not Applicable","Parked","Car","Unknown","1","Unknown","Unknown"
"CR-0000085434","ACV-0000174858","","0","","Unknown","Driver","Impairment Not Known","Unknown","Unknown","Unknown","Unknown","1","Unknown","Unknown"
"CR-0000085435","ACV-0000174859","","0","","Moderate","Driver","Impairment Not Known","West","Making Left Turn","Car","Other Violation","1","22107","Unsafe Turn Movement"
"CR-0000085435","ACV-0000174860","","0","","Moderate","Parked","Not Applicable","Not Applicable","Parked","Car","None Apparent","1","Not Applicable","Not Applicable"
"CR-0000085436","ACV-0000174861","M","31","","Moderate","Driver","Impairment Not Known","North","Proceeding Straight","Panel Truck","Other Violation","1","21801","Yield Left Turn"
"CR-0000085436","ACV-0000174862","M","64","","Minor","Driver","Impairment Not Known","North","Proceeding Straight","Car","Unknown","1","Not Applicable","Not Applicable"
"CR-0000085436","ACV-0000174863","M","23","","Minor","Driver","Impairment Not Known","North","Making Right Turn","Car","Unknown","1","Not Applicable","Not Applicable"
"CR-0000085437","ACV-0000174864","M","32","","Major","Driver","Had Been Drinking - Under Influence","West","Proceeding Straight","Car","Unknown","1","22350","Speeding"
"CR-0000085438","ACV-0000174865","","0","","Moderate","Driver","Impairment Not Known","West","Proceeding Straight","Car","Other Violation","1","22350","Speeding"
"CR-0000085438","ACV-0000174866","","0","","Moderate","Parked","Not Applicable","Not Applicable","Parked","Car","Unknown","1","Not Applicable","Not Applicable"
"CR-0000085439","ACV-0000174867","","0","","Unknown","Driver","Impairment Not Known","West","Proceeding Straight","Car","Unknown","1","Unknown","Unknown"
"CR-0000085440","ACV-0000174868","","0","","Unknown","Driver","Impairment Not Known","East","Other Unsafe Turning","Car","Other Violation","1","21658","Unsafe Lane Change"
"CR-0000085440","ACV-0000174869","","0","","Major","Parked","Not Applicable","Not Applicable","Parked","Car","Unknown","1","Not Applicable","Not Applicable"
"CR-0000085440","ACV-0000174870","","0","","Moderate","Parked","Not Applicable","Not Applicable","Parked","Car","Unknown","1","Not Applicable","Not Applicable"
"CR-0000085441","ACV-0000174871","","0","","Unknown","Driver","Impairment Not Known","East","Proceeding Straight","Car","Other Violation","1","22450","Fail Stop/Sign"
"CR-0000085441","ACV-0000174872","M","62","","Moderate","Driver","Impairment Not Known","South","Proceeding Straight","Panel Truck","Unknown","1","Not Applicable","Not Applicable"
"CR-0000085442","ACV-0000174873","M","22","","Major","Driver","Had Not Been Drinking","North","Proceeding Straight","Car","Inattention","1","21802","Yield Stop Sign"
"CR-0000085442","ACV-0000174874","M","22","","Moderate","Driver","Had Not Been Drinking","West","Proceeding Straight","Car","Unknown","1","Not Applicable","Not Applicable"
"CR-0000085443","ACV-0000174875","F","38","","Not Applicable","Pedestrian","Impairment Not Known","North","Other (Ped)","Pedestrian","Unknown","1","21954","Pedestrian Yield Car"
