"CrashFactId","Name","MinorInjuries","ModerateInjuries","SevereInjuries","FatalInjuries","TcrNumber","CityDamageFlag","ShortFormFlag","Distance","CrashDateTime","PedestrianAction","RoadwaySurface","RoadwayCondition","Lighting","PrimaryCollisionFactor","TrafficControl","Weather","CollisionType","ProximityToIntersection","VehicleInvolvedWith","PedestrianDirectionFrom","PedestrianDirectionTo","DirectionFromIntersection","Comment"
"649463","CR-0000085232","0","0","0","0","21-003-0558","False","False","0","1/3/2021 4:26:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Violation Driver 1","No Controls Present/Factor","Clear","Hit Object","Intersection","Fixed Object","Not Applicable","Not Applicable","At","Fence"
"649464","CR-0000085233","3","0","0","0","21-003-0270","False","False","55","1/3/2021 10:24:00 AM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Violation Driver 1","No Controls Present/Factor","Clear","Broadside","Non-Related","Other Vehicle","Not Applicable","Not Applicable","South Of",""
"649465","CR-0000085235","0","0","0","0","21-003-0089","False","False","21","1/3/2021 2:26:00 AM","No Pedestrians Involved","Dry","No Unusual Conditions","Dark - Street Light","Violation Driver 1","No Controls Present/Factor","Cloudy","Hit Object","Related","Fixed Object","Not Applicable","Not Applicable","East Of","Fence"
"649502","CR-0000085240","0","0","0","0","21-003-0784","False","False","0","1/3/2021 9:00:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Dusk - Dawn","Violation Driver 1","Controls Functioning","Clear","Rear End","Intersection","Other Vehicle","Not Applicable","Not Applicable","At",""
"649503","CR-0000085241","0","0","0","0","21-003-4000","False","True","0","1/3/2021 10:08:00 AM","No Pedestrians Involved","Unknown","Unknown","Daylight","Unknown","Unknown","Unknown","Rear End","Intersection","Other Vehicle","Not Applicable","Not Applicable","At",""
"649504","CR-0000085245","0","0","0","0","21-004-0941","False","False","160","1/4/2021 10:30:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Dark - Street Light","Violation Driver 1","No Controls Present/Factor","Clear","Broadside","Non-Related","Parked Vehicle","Not Applicable","Not Applicable","East Of",""
"649505","CR-0000085247","0","0","0","0","21-004-0244","False","False","80","1/4/2021 8:16:00 AM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Violation Driver 1","Controls Functioning","Clear","Rear End","Non-Related","Parked Vehicle","Not Applicable","Not Applicable","East Of",""
"649506","CR-0000085248","0","0","0","0","21-004-0565","False","False","0","1/4/2021 3:03:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Violation Driver 1","No Controls Present/Factor","Cloudy","Broadside","Intersection","Other Vehicle","Not Applicable","Not Applicable","At",""
"649507","CR-0000085254","0","0","0","0","21-005-0855","True","False","132","1/5/2021 8:54:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Dark - Street Light","Unknown","No Controls Present/Factor","Clear","Hit Object","Non-Related","Fixed Object","Not Applicable","Not Applicable","West Of","Tree, street sign"
"649508","CR-0000085264","0","0","0","0","21-006-4000","False","True","51","1/6/2021 4:15:00 AM","No Pedestrians Involved","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Rear End","Non-Related","Parked Vehicle","Not Applicable","Not Applicable","North Of",""
"649536","CR-0000085230","2","0","0","0","21-003-0663","False","False","225","1/3/2021 6:14:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Dark - Street Light","Violation Driver 1","No Controls Present/Factor","Clear","Rear End","Non-Related","Other Vehicle","Not Applicable","Not Applicable","East Of",""
"649537","CR-0000085231","0","0","0","0","21-003-0709","False","False","0","1/3/2021 7:04:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Dark - Street Light","Violation Driver 1","Controls Functioning","Clear","Broadside","Intersection","Train","Not Applicable","Not Applicable","At",""
"649538","CR-0000085237","0","0","0","0","21-003-0400","False","False","0","1/3/2021 1:25:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Violation Driver 1","Controls Functioning","Cloudy","Broadside","Intersection","Other Vehicle","Not Applicable","Not Applicable","At",""
"649539","CR-0000085242","0","1","0","0","21-004-0506","False","False","0","1/4/2021 1:42:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Unknown","Controls Functioning","Cloudy","Broadside","Intersection","Other Vehicle","Not Applicable","Not Applicable","At",""
"649540","CR-0000085243","0","0","0","0","21-004-0592","False","False","420","1/4/2021 3:31:00 PM","No Pedestrians Involved","Wet","No Unusual Conditions","Daylight","Violation Driver 1","Controls Functioning","Rain","Hit Object","Non-Related","Fixed Object","Not Applicable","Not Applicable","North Of","Electrical pole"
"649541","CR-0000085246","1","0","0","0","21-004-0636","False","False","27","1/4/2021 4:14:00 PM","Crossing In Crosswalk - At Intersection","Dry","No Unusual Conditions","Daylight","Violation Driver 1","No Controls Present/Factor","Clear","Vehicle/Pedestrian","Related","Pedestrian","North","South","West Of",""
"649542","CR-0000085249","1","0","0","0","21-005-0562","False","False","85","1/5/2021 3:15:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Violation Driver 1","Controls Functioning","Clear","Sideswipe","Non-Related","Parked Vehicle","Not Applicable","Not Applicable","East Of",""
"649544","CR-0000085236","0","1","0","0","21-003-0292","False","False","0","1/3/2021 11:02:00 AM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Violation Driver 1","Controls Functioning","Clear","Broadside","Intersection","Motorcycle","Not Applicable","Not Applicable","At",""
"649552","CR-0000085238","0","0","0","0","21-003-0848","False","False","99","1/3/2021 9:15:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Dark - Street Light","Violation Driver 1","No Controls Present/Factor","Clear","Sideswipe","Non-Related","Parked Vehicle","Not Applicable","Not Applicable","East Of",""
"649553","CR-0000085239","0","0","0","0","21-003-0767","False","False","840","1/3/2021 8:30:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Dark - Street Light","Violation Driver 1","No Controls Present/Factor","Clear","Broadside","Non-Related","Other Vehicle","Not Applicable","Not Applicable","South Of",""
"649554","CR-0000085244","1","0","0","0","21-004-0175","False","False","350","1/4/2021 7:51:00 AM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Violation Driver 1","No Controls Present/Factor","Cloudy","Rear End","Non-Related","Parked Vehicle","Not Applicable","Not Applicable","South Of",""
"649555","CR-0000085250","0","0","0","0","21-005-0656","False","False","51","1/5/2021 4:50:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Violation Driver 1","Controls Functioning","Clear","Rear End","Non-Related","Other Vehicle","Not Applicable","Not Applicable","South Of",""
"649556","CR-0000085251","0","0","0","0","21-005-0793","False","False","104","1/5/2021 6:00:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Violation Driver 1","No Controls Present/Factor","Clear","Sideswipe","Non-Related","Parked Vehicle","Not Applicable","Not Applicable","South Of",""
"649557","CR-0000085257","0","0","0","0","21-005-0321","False","False","92","1/5/2021 10:47:00 AM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Violation Driver 1","No Controls Present/Factor","Clear","Head On","Non-Related","Parked Vehicle","Not Applicable","Not Applicable","West Of",""
"649558","CR-0000085260","0","1","0","0","21-006-0684","False","False","523","1/6/2021 5:35:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Dark - Street Light","Bike At Fault","No Controls Present/Factor","Clear","Vehicle/Bike","Non-Related","Bike","Not Applicable","Not Applicable","North Of",""
"649577","CR-0000085224","1","0","0","0","21-002-0352","False","False","78","1/2/2021 12:11:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Violation Driver 1","Controls Functioning","Cloudy","Broadside","Non-Related","Other Vehicle","Not Applicable","Not Applicable","South Of",""
"649603","CR-0000085270","0","0","0","0","21-007-0462","True","False","225","1/7/2021 2:40:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Violation Driver 1","Controls Functioning","Clear","Hit Object","Non-Related","Fixed Object","Not Applicable","Not Applicable","East Of",""
"649604","CR-0000085271","0","1","0","0","21-008-0147","False","False","0","1/8/2021 7:52:00 AM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Violation Driver 1","Controls Functioning","Clear","Broadside","Intersection","Other Vehicle","Not Applicable","Not Applicable","At",""
"649605","CR-0000085272","0","0","0","0","21-009-0122","False","False","215","1/9/2021 2:57:00 AM","No Pedestrians Involved","Dry","No Unusual Conditions","Dark - Street Light","Violation Driver 1","No Controls Present/Factor","Clear","Sideswipe","Non-Related","Parked Vehicle","Not Applicable","Not Applicable","East Of",""
"649613","CR-0000085273","0","0","0","0","21-009-0127","False","False","350","1/9/2021 3:00:00 AM","No Pedestrians Involved","Dry","No Unusual Conditions","Dark - Street Light","Violation Driver 1","No Controls Present/Factor","Clear","Sideswipe","Non-Related","Parked Vehicle","Not Applicable","Not Applicable","North Of",""
"649621","CR-0000085234","0","0","0","0","21-003-0234","True","False","0","1/3/2021 9:30:00 AM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Violation Driver 1","Controls Functioning","Clear","Hit Object","Intersection","Fixed Object","Not Applicable","Not Applicable","At","Light pole"
"649622","CR-0000085252","0","0","1","0","21-005-0773","False","False","184","1/5/2021 7:07:00 PM","Crossing - Not In Crosswalk","Dry","No Unusual Conditions","Dark - No Street Light","Pedestrian At Fault","No Controls Present/Factor","Clear","Vehicle/Pedestrian","Non-Related","Pedestrian","South","North","West Of",""
"649623","CR-0000085253","0","0","0","0","21-005-0917","True","False","658","1/5/2021 10:32:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Dark - Street Light","Unknown","No Controls Present/Factor","Clear","Sideswipe","Non-Related","Other Vehicle","Not Applicable","Not Applicable","East Of","Tree"
"649624","CR-0000085255","1","0","0","0","21-005-0688","False","False","0","1/5/2021 5:29:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Dark - Street Light","Bike At Fault","Controls Functioning","Clear","Vehicle/Bike","Intersection","Bike","Not Applicable","Not Applicable","At",""
"649625","CR-0000085258","1","0","0","0","21-005-0420","False","False","0","1/5/2021 12:51:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Violation Driver 1","Controls Functioning","Cloudy","Broadside","Intersection","Other Vehicle","Not Applicable","Not Applicable","At",""
"649626","CR-0000085259","2","0","0","0","21-006-0381","False","False","0","1/6/2021 12:12:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Violation Driver 1","Controls Functioning","Clear","Broadside","Intersection","Other Vehicle","Not Applicable","Not Applicable","At",""
"649627","CR-0000085262","0","0","1","0","21-006-0762","False","False","246","1/6/2021 7:17:00 PM","In Road - Includes Shoulder","Dry","No Unusual Conditions","Dark - Street Light","Pedestrian At Fault","Controls Functioning","Clear","Vehicle/Pedestrian","Non-Related","Pedestrian","North","South","East Of",""
"649628","CR-0000085263","1","0","0","0","21-006-0740","False","False","0","1/6/2021 6:50:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Dark - Street Light","Violation Driver 1","Controls Functioning","Clear","Broadside","Intersection","Other Vehicle","Not Applicable","Not Applicable","At",""
"649629","CR-0000085256","0","0","0","0","21-005-0680","False","False","0","1/5/2021 5:16:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Dusk - Dawn","Violation Driver 1","Controls Functioning","Clear","Broadside","Intersection","Other Vehicle","Not Applicable","Not Applicable","At",""
"649630","CR-0000085265","0","1","0","0","21-007-0174","False","False","0","1/7/2021 7:57:00 AM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Violation Driver 1","Controls Functioning","Cloudy","Broadside","Intersection","Other Vehicle","Not Applicable","Not Applicable","At",""
"649631","CR-0000085266","1","0","0","0","21-007-0064","False","False","90","1/7/2021 2:00:00 AM","No Pedestrians Involved","Dry","Other","Dark - Street Light","Unknown","Controls Functioning","Clear","Vehicle/Bike","Non-Related","Bike","Not Applicable","Not Applicable","North Of",""
"649632","CR-0000085267","0","0","0","0","21-007-0782","False","False","21","1/7/2021 9:17:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Dark - Street Light","Violation Driver 1","Controls Functioning","Clear","Rear End","Related","Other Vehicle","Not Applicable","Not Applicable","North Of",""
"649633","CR-0000085268","1","0","0","0","21-007-0601","False","False","0","1/7/2021 5:18:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Bike At Fault","No Controls Present/Factor","Clear","Vehicle/Bike","Intersection","Bike","Not Applicable","Not Applicable","At",""
"649634","CR-0000085269","0","0","0","0","21-007-0052","True","False","78","1/7/2021 1:36:00 AM","No Pedestrians Involved","Dry","No Unusual Conditions","Dark - Street Light","Violation Driver 1","No Controls Present/Factor","Clear","Hit Object","Non-Related","Fixed Object","Not Applicable","Not Applicable","East Of","2 signs, brick wall"
"649688","CR-0000085261","0","0","0","0","21-006-0739","False","False","","1/6/2021 6:50:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Dark - Street Light","Violation Driver 1","Controls Functioning","Cloudy","Rear End","Related","Other Vehicle","Not Applicable","Not Applicable","North Of",""
"650095","CR-0000085412","0","0","0","1","21-010-0533","False","False","220","1/10/2021 4:40:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Unknown","No Controls Present/Factor","Clear","Sideswipe","Non-Related","Parked Vehicle","Not Applicable","Not Applicable","North Of","Hit 7 parked cars and a residence because of a medical condition."
"650096","CR-0000085419","0","0","0","0","21-008-9705","False","True","51","1/7/2021 5:30:00 AM","No Pedestrians Involved","Dry","No Unusual Conditions","Dusk - Dawn","Unknown","No Controls Present/Factor","Clear","Sideswipe","Non-Related","Parked Vehicle","Not Applicable","Not Applicable","South Of",""
"650097","CR-0000085421","0","0","0","0","21-015-9702","False","True","51","1/7/2021 4:00:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Unknown","No Controls Present/Factor","Clear","Sideswipe","Non-Related","Parked Vehicle","Not Applicable","Not Applicable","North Of",""
"650098","CR-0000085423","0","0","0","0","21-008-4000","False","True","0","1/8/2021 4:40:00 PM","No Pedestrians Involved","Unknown","Unknown","Daylight","Unknown","Unknown","Unknown","Broadside","Intersection","Other Vehicle","Not Applicable","Not Applicable","At",""
"650099","CR-0000085425","0","0","0","0","21-022-0088","False","False","96","1/8/2021 4:39:00 AM","No Pedestrians Involved","Wet","No Unusual Conditions","Dark - Street Light","Violation Driver 1","Controls Functioning","Rain","Rear End","Non-Related","Parked Vehicle","Not Applicable","Not Applicable","South Of",""
"650101","CR-0000085417","0","0","1","0","21-002-0062","True","False","210","1/2/2021 1:28:00 AM","No Pedestrians Involved","Dry","No Unusual Conditions","Dark - Street Light","Violation Driver 1","No Controls Present/Factor","Clear","Hit Object","Non-Related","Fixed Object","Not Applicable","Not Applicable","West Of","Curb, chain-link fence"
"650102","CR-0000085422","1","0","0","0","21-008-0268","False","False","0","1/8/2021 11:00:00 AM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Violation Driver 1","Controls Functioning","Clear","Broadside","Intersection","Other Vehicle","Not Applicable","Not Applicable","At",""
"650103","CR-0000085427","1","0","0","0","21-008-0831","False","False","20","1/8/2021 9:00:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Dark - Street Light","Violation Driver 1","Controls Functioning","Clear","Rear End","Related","Other Vehicle","Not Applicable","Not Applicable","East Of",""
"650109","CR-0000085415","0","0","0","0","21-001-0205","True","False","1120","1/1/2021 3:53:00 AM","No Pedestrians Involved","Dry","No Unusual Conditions","Dark - Street Light","Violation Driver 1","No Controls Present/Factor","Clear","Hit Object","Non-Related","Fixed Object","Not Applicable","Not Applicable","North Of","Tree"
"650110","CR-0000085416","0","0","0","0","21-001-0215","True","False","0","1/1/2021 4:32:00 AM","No Pedestrians Involved","Dry","No Unusual Conditions","Dark - Street Light","Violation Driver 1","No Controls Present/Factor","Clear","Hit Object","Intersection","Fixed Object","Not Applicable","Not Applicable","At","Tree"
"650111","CR-0000085420","0","0","0","0","21-007-0323","False","False","0","1/7/2021 11:38:00 AM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Unknown","No Controls Present/Factor","Clear","Broadside","Intersection","Motor Vehicle On Other Roadway","Not Applicable","Not Applicable","At",""
"650112","CR-0000085424","2","1","0","0","21-008-0498","False","False","0","1/8/2021 3:07:00 PM","No Pedestrians Involved","Dry","Holes Deep Rut","Daylight","Violation Driver 1","Controls Functioning","Clear","Broadside","Intersection","Other Vehicle","Not Applicable","Not Applicable","At",""
"650113","CR-0000085426","0","1","0","0","21-008-0574","False","False","90","1/8/2021 5:56:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Violation Driver 1","No Controls Present/Factor","Clear","Other","Non-Related","Motorcycle","Not Applicable","Not Applicable","South Of",""
"650114","CR-0000085434","0","0","0","0","21-009-4001","False","True","51","1/9/2021 4:45:00 PM","No Pedestrians Involved","Unknown","Unknown","Daylight","Unknown","Unknown","Unknown","Rear End","Non-Related","Parked Vehicle","Not Applicable","Not Applicable","East Of",""
"650147","CR-0000085429","0","0","0","0","21-009-0285","False","False","75","1/9/2021 10:28:00 AM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Violation Driver 1","Controls Functioning","Clear","Rear End","Non-Related","Other Vehicle","Not Applicable","Not Applicable","West Of",""
"650148","CR-0000085431","3","0","0","0","21-009-0655","False","False","0","1/9/2021 5:26:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Dusk - Dawn","Violation Driver 1","No Controls Present/Factor","Clear","Broadside","Intersection","Other Vehicle","Not Applicable","Not Applicable","At",""
"650156","CR-0000085433","0","0","1","0","21-009-1005","True","False","230","1/9/2021 11:28:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Dark - Street Light","Violation Driver 1","Controls Functioning","Clear","Hit Object","Non-Related","Fixed Object","Not Applicable","Not Applicable","East Of","Light pole, tree"
"650157","CR-0000085435","0","0","0","0","21-010-0157","False","False","25","1/10/2021 5:58:00 AM","No Pedestrians Involved","Dry","No Unusual Conditions","Dusk - Dawn","Violation Driver 1","No Controls Present/Factor","Clear","Head On","Related","Parked Vehicle","Not Applicable","Not Applicable","East Of",""
"650158","CR-0000085439","0","0","0","0","21-010-4000","False","True","0","1/10/2021 12:26:00 AM","No Pedestrians Involved","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Hit Object","Intersection","Fixed Object","Not Applicable","Not Applicable","At","Curb, brick wall"
"650159","CR-0000085442","2","0","0","0","21-011-0545","False","False","0","1/11/2021 2:33:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Violation Driver 1","No Controls Present/Factor","Clear","Broadside","Intersection","Other Vehicle","Not Applicable","Not Applicable","At",""
"650160","CR-0000085447","1","0","0","0","21-011-0870","True","False","0","1/11/2021 8:24:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Dark - Street Light","Violation Driver 1","No Controls Present/Factor","Clear","Sideswipe","Intersection","Other Vehicle","Not Applicable","Not Applicable","At","Light pole"
"650197","CR-0000085418","0","0","0","0","21-005-9711","False","True","","1/5/2021 1:30:00 PM","No Pedestrians Involved","Dry","Unknown","Daylight","Unknown","Unknown","Cloudy","Sideswipe","Related","Other Vehicle","Not Applicable","Not Applicable","South Of",""
"650268","CR-0000085436","0","0","0","0","21-010-0523","False","False","","1/10/2021 4:30:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Violation Driver 1","Controls Functioning","Clear","Sideswipe","Related","Other Vehicle","Not Applicable","Not Applicable","South Of",""
"650269","CR-0000085441","0","0","0","0","21-011-0519","False","False","0","1/11/2021 2:08:00 PM","No Pedestrians Involved","Unknown","No Unusual Conditions","Daylight","Violation Driver 1","Controls Functioning","Unknown","Broadside","Intersection","Other Vehicle","Not Applicable","Not Applicable","At",""
"650270","CR-0000085449","0","0","0","0","21-011-4000","False","True","51","1/11/2021 10:10:00 AM","No Pedestrians Involved","Unknown","Unknown","Daylight","Unknown","Unknown","Unknown","Other","Non-Related","Parked Vehicle","Not Applicable","Not Applicable","West Of",""
"650271","CR-0000085450","2","1","0","0","21-012-0143","False","False","26","1/12/2021 7:28:00 AM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Violation Driver 1","Controls Functioning","Clear","Sideswipe","Related","Other Vehicle","Not Applicable","Not Applicable","South Of",""
"650272","CR-0000085458","0","0","0","0","21-013-0375","False","False","128","1/13/2021 11:59:00 AM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Violation Driver 1","Controls Functioning","Clear","Sideswipe","Non-Related","Parked Vehicle","Not Applicable","Not Applicable","West Of",""
"650273","CR-0000085460","0","0","0","0","21-013-0459","False","False","850","1/13/2021 12:54:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Violation Driver 1","No Controls Present/Factor","Clear","Rear End","Non-Related","Other Vehicle","Not Applicable","Not Applicable","South Of",""
"650274","CR-0000085468","0","0","0","0","21-013-4000","False","True","0","1/13/2021 7:30:00 PM","No Pedestrians Involved","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Rear End","Intersection","Other Vehicle","Not Applicable","Not Applicable","At",""
"650275","CR-0000085472","1","0","0","0","21-014-0301","False","False","0","1/14/2021 11:00:00 AM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Violation Driver 1","No Controls Present/Factor","Clear","Head On","Intersection","Other Vehicle","Not Applicable","Not Applicable","At",""
"650285","CR-0000085428","1","0","0","0","21-009-0197","False","False","285","1/9/2021 7:45:00 AM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Violation Driver 1","No Controls Present/Factor","Clear","Broadside","Non-Related","Other Vehicle","Not Applicable","Not Applicable","South Of",""
"650286","CR-0000085432","0","0","0","0","21-009-0985","False","False","0","1/9/2021 11:04:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Dark - Street Light","Violation Driver 1","Controls Functioning","Clear","Hit Object","Intersection","Fixed Object","Not Applicable","Not Applicable","At","Pole"
"650287","CR-0000085437","2","0","0","0","21-010-0696","False","False","170","1/10/2021 8:27:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Dark - Street Light","Violation Driver 1","No Controls Present/Factor","Cloudy","Hit Object","Non-Related","Fixed Object","Not Applicable","Not Applicable","West Of","Electric pole"
"650288","CR-0000085440","0","0","0","0","21-011-0032","False","False","230","1/11/2021 12:50:00 AM","No Pedestrians Involved","Dry","No Unusual Conditions","Dark - Street Light","Violation Driver 1","No Controls Present/Factor","Clear","Sideswipe","Non-Related","Parked Vehicle","Not Applicable","Not Applicable","West Of",""
"650289","CR-0000085448","0","1","0","0","21-011-0809","False","False","0","1/11/2021 9:22:00 PM","No Pedestrians Involved","Unknown","No Unusual Conditions","Dark - Street Light","Bike At Fault","Controls Functioning","Clear","Vehicle/Bike","Intersection","Scooter Motorized","Not Applicable","Not Applicable","At",""
"650290","CR-0000085451","0","0","0","0","21-012-0479","False","False","119","1/12/2021 1:55:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Violation Driver 1","Controls Functioning","Clear","Rear End","Non-Related","Other Vehicle","Not Applicable","Not Applicable","South Of",""
"650291","CR-0000085453","0","0","0","0","21-012-0555","False","False","406","1/12/2021 3:54:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Violation Driver 1","Controls Functioning","Clear","Head On","Non-Related","Other Vehicle","Not Applicable","Not Applicable","West Of",""
"650298","CR-0000085430","2","0","0","0","21-009-0370","False","False","0","1/9/2021 11:54:00 AM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Violation Driver 1","Controls Functioning","Clear","Broadside","Intersection","Other Vehicle","Not Applicable","Not Applicable","At",""
"650299","CR-0000085438","0","0","0","0","21-011-0694","False","False","40","1/10/2021 8:45:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Dark - Street Light","Violation Driver 1","No Controls Present/Factor","Clear","Sideswipe","Related","Parked Vehicle","Not Applicable","Not Applicable","East Of",""
"650300","CR-0000085443","0","0","0","0","21-011-0727","False","False","225","1/11/2021 5:33:00 PM","Crossing - Not In Crosswalk","Dry","No Unusual Conditions","Dark - Street Light","Pedestrian At Fault","Controls Functioning","Clear","Vehicle/Pedestrian","Non-Related","Pedestrian","South","North","East Of",""
"650301","CR-0000085444","0","0","0","0","21-011-0662","False","False","0","1/11/2021 4:38:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Violation Driver 1","Controls Functioning","Clear","Sideswipe","Intersection","Other Vehicle","Not Applicable","Not Applicable","At",""
